"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a1460","mafa zr ŋarerath firra ebarr fof","mafa	zr	ŋa\rä/rath	firra	ebar	=r	fof","who.ERG.NSG	tooth	2|3PL:PST:IPFV\do	PLN	head	=PURP	EMPH","They had formed an alliance in the attack on Firra.","","WORD_ALIGNED"
"a1462","watik, anema fobo fof faw brigsir zathkäfath fof","watik	ane	=ma	fobo	fof	faw	brig	-si	=r	za\thkäf/ath	fof","then	DEM	=CHAR	DIST:ALL	EMPH	payment	return	-NMLZ	=PURP	2|3PL>3SG.F:PST:PFV\start	EMPH","This is really why they started the revenge there (in Téndöfi).","","WORD_ALIGNED"
"a1463","kabe fä ŋamosinzath tämnzüfin","kabe	fä	ŋa\mosi/nzath	tämnzüfi	=en","man	DIST	2|3PL:PST:IPFV\gather	PLN	=LOC","So they gathered over there in Tämnzüfi.","","WORD_ALIGNED"
"a1465","zäbthath watik zefarath","zä\bth/ath	watik	ze\far/ath","2|3PL:PST:PFV\finish	then	2|3PL:PST:PFV\set_off","They finished (their discussions) and got going.","","WORD_ALIGNED"
"a1467","tämnzüfa zefarath sazäthi","tämnzüfi	=fa	ze\far/ath	sazäthi","PLN	=ABL	2|3PL:PST:PFV\set_off	PLN","They went from Tämnzüfi to Sazäthi.","","WORD_ALIGNED"
"a1468","sazäthifa foba zartmath  trn zäre","sazäthi	=fa	foba	za\rtm/ath	trn_zäre","PLN	=ABL	DIST:ABL	2|3PL>3SG.F:PST:PFV\cut	PLN","From Sazäthi, they took a shortcut to Térén Zäre.","","WORD_ALIGNED"
"a1470","trn zärefa eyaka käs","trn_zäre	=fa	e\yak/a	käs","PLN	=ABL	2|3PL:PST:IPFV\walk	PLN","From Térén Zäre they walked to Käs.","","WORD_ALIGNED"
"a1471","käsen fä fof ŋamosinzath fof","käs	=en	fä	fof	ŋa\mosi/nzath	fof","PLN	=LOC	DIST	EMPH	2|3PL:PST:IPFV\gather	EMPH","They gathered in Käs","","WORD_ALIGNED"
"a1472","ŋamothwath kabe yf ane fof efathwath","ŋa\moth/wath	kabe	yf	ane	fof	e\fath/wath","2|3PL:PST:IPFV\sit_together	people	name	DEM	EMPH	2|3PL>2|3PL:PST:IPFV\hold","and sat closely together calling out the names (of their victims).","","WORD_ALIGNED"
"a1473","fr thmthm egarwath wämne","fr	thm~	thm	e\gar/wath	wämne","post	REDUP~	nose	2|3PL>2|3PL:PST:IPFV\break	tree","They were breaking small sticks,","","WORD_ALIGNED"
"a1474","wämne nima egarwath fr","wämne	nima	e\gar/wath	fr","tree	like_this	2|3PL>2|3PL:PST:IPFV\break	post","they broke the stick like this,","","WORD_ALIGNED"
"a1475","fr thmthm yfkarä","fr	thm~	thm	yf	=karä","post	REDUP~	nose	name	=PROP","and they put a name to each little twig.","","WORD_ALIGNED"
"a1476","ane kabeane yf nä swägarnzth ane kabeane yf nä swägarnzth","ane	kabe	ane	yf	nä	swä\gar/nzth	ane	kabe	ane	yf	nä	swä\gar/nzth","DEM	man	=POSS.SG	name	INDF	2|3PL>3SG.M.IO:NPST:IPFV\break	DEM	man	=POSS.SG	name	INDF	2|3PL>3SG.M.IO:NPST:IPFV\break","For this man's name they broke one stick, and for that man's name they broke another stick.","","WORD_ALIGNED"
"a1478","thäbthath rnzam fobo erera fof boba wazi tdöfin thwamnzrm ŋare ngenge kabe","thä\bth/ath	rnzam	fobo	e\rä/ra	fof	boba	wazi	tdöfi	=en	thwa\m/nzrm	ŋare	nge~	nge	kabe","2|3PL>2|3PL:PST:PFV\finish	how_many	DIST:ALL	2|3PL:PST:IPFV\be	EMPH	MED:ABL	side	PLN	=LOC	2|3PL:PST:DUR\sit	woman	REDUP~	child	man","They did this for as many people as lived on the other side of the river in Téndöfi, for every woman, for the children and for the men.","","WORD_ALIGNED"
"a1481","nä kabe yara nzenmema zane karma zf faremma","nä	kabe	ya\r/a	nzenme	=ma	zane	kar	=ma	zf	farem	=ma","INDF	man	3SG.M:PST:IPFV\be	1NSG.POSS	=CHAR	DEM:PROX	village	=CHAR	ABSC	PLN	=CHAR","But there was one man (amongst the headhunters) who was from our clan, from this village here, from the Farem people.","","WORD_ALIGNED"
"a1484","safskarä mafä thäritath fof fi bobo sfrärm tdöfin","safs	kar	=ä	mafä	thä\rit/ath	fof	fi	bobo	sf\rä/rm	tdöfi	=en","PLN	village	=ASSOC	who.ASSOC.PL	2|3PL>2|3PL:PST:PFV\cross	EMPH	3.ABS	MED:ALL	3SG.M:PST:DUR\be	PLN	=LOC","He had exchanged wives with the people from Safés, and (this family) was also there in Téndöfi.","","WORD_ALIGNED"
"a1486","wati, naf thärkora ""nzone fäms fobo yamnzr","wati	naf	thär\kor/a	nzone	fäms	fobo	ya\m/nzr","then	3SG.ERG	SG>2|3PL:PST:PFV\speak	1SG.POSS	exchange	DIST:ALL	3SG.M:NPST:IPFV\sit","So he told the others: ""My exchange man is staying there.","","WORD_ALIGNED"
"a1487","nzone fäms ŋare fobo fof rä","nzone	fäms	ŋare	fobo	fof	\rä/","1SG.POSS	exchange	woman	DIST:ALL	EMPH	3SG.F:NPST:IPFV\be","My exchange woman is also there.","","WORD_ALIGNED"
"a1488","nzä zöbthé kwa wiyak","nzä	zöbthé	kwa	w\yak/","1SG.ABS	first	FUT	1SG:NPST:IPFV\walk","I will go ahead.","","WORD_ALIGNED"
"a1489","kwa srantrifé fof fämsn""","kwa	sran\trif/é	fof	fäms	=n","FUT	1SG>3SG.M.IO:IRR:PFV:VENT\tell	EMPH	exchange	=DAT.SG","I will tell my exchange man (what's coming).""","","WORD_ALIGNED"
"a1491","ŋarsfa foba zabrmako katan bobo bräro fof","ŋars	=fa	foba	za\bram/ako	katan	bobo	b=	\rä/ro	fof","river	=ABL	DIST:ABL	SG>3SG.F:PST:PFV:AND\follow	small	MED:ALL	MED=	3SG.F:NPST:IPFV:AND\be	EMPH","He followed the riverbank for a short distance,","","WORD_ALIGNED"
"a1492","käsfa zzagrmär","käs	=fa	z~	zagr	=mär","PLN	=ABL	REDUP~	far	=PRIV","not far from Käs.","","WORD_ALIGNED"
"a1493","watik fobo fof gardar sarna fof","watik	fobo	fof	garda	=r	sa\rn/a	fof","then	DIST:ALL	EMPH	canoe	=PURP	3SG.M:PST:PFV\shout	EMPH","Then he called out for the canoe.","","WORD_ALIGNED"
"a1494","gardar yannor nafafämsf srenkaris ""oh kabe byannor gardar""","garda	=r	yan\nor/	nafa-	fäms	=f	sren\karis/	oh	kabe	b=	yan\nor/	garda	=r","canoe	=PURP	3SG.M:NPST:IPFV:VENT\shout	3.POSS-	exchange	=ERG.SG	2|3SG>3SG.M:IRR:PFV:VENT\hear	oh	man	MED=	3SG.M:NPST:IPFV:VENT\shout	canoe	=PURP","As he was calling for the canoe, his exchange man heard him (and said) ""Oh, someone is calling for the canoe.""","","WORD_ALIGNED"
"a1496","watik nima yara fof","watik	nima	ya\r/a	fof","then	like_this	3SG.M:PST:IPFV\be	EMPH","Well, he looked like this,","","WORD_ALIGNED"
"a1498","z ŋaroyakwa ane fof tarazü","z	ŋa\royak/wa	ane	fof	tarazü","ALR	SG:PST:IPFV\dress	DEM	EMPH	headdress","he was already dressed up wearing his headdress","","WORD_ALIGNED"
"a1499","nabi dunzi fyara fof","nabi	dunzi	f=	ya\r/a	fof","bow	arrow	DIST=	3SG.M:PST:IPFV\be	EMPH","and he was carrying his bow and arrow.","","WORD_ALIGNED"
"a1500","nafafäms yanyak fobo fof sremar fof","nafa-	fäms	yan\yak/	fobo	fof	sre\mar/	fof","3.POSS-	exchange	3SG.M:NPST:IPFV:VENT\come	DIST:ALL	EMPH	2|3SG>3SG.M:IRR:PFV\see	EMPH","His exchange man came and he looked at him.","","WORD_ALIGNED"
"a1502","sukufa srar zi nge fof","sukufa	sra\r/	zi	nge	fof","tobacco	2|3SG>3SG.M.IO:IRR:PFV\give	pain	child	EMPH","He gave him tobacco, really strong tobacco.","zi nge 'child of pain' is a metaphor for strong tobacco.","WORD_ALIGNED"
"a5644","nafafämsf mane thwanathrm zba mane yakako fof","nafa-	fäms	=f	mane	thwa\na/thrm	zba	mane	\yak/ako	fof","3.POSS-	exchange	=ERG.SG	which	SG>2|3PL:PST:DUR\eat	PROX:ABL	which	3SG.M:PST:IPFV:AND\walk	EMPH","His exchange man was smoking it first, the one who went from here,","","WORD_ALIGNED"
"a1503","zanr mane yakako fof","zan	=r	mane	\yak/ako	fof","fight	=PURP	which	3SG.M:PST:IPFV:AND\walk	EMPH","the one who had come for killing them.","","WORD_ALIGNED"
"a1504","watik sukufa ane rära zi nge","watik	sukufa	ane	\rä/ra	zi	nge","then	tobacco	DEM	3SG.F:PST:IPFV\be	pain	child","Anyway, it was really strong tobacco.","","WORD_ALIGNED"
"a1505","sukufa srar sukufa krekar","sukufa	sra\r/	sukufa	kre\kar/","tobacco	2|3SG>3SG.M.IO:IRR:PFV\give	tobacco	2|3SG:IRR:PFV\pull","He gave him the tobacco and he puffed it.","","WORD_ALIGNED"
"a1506","keke naf nima zära ""sukufa zane zisé zwar. rma zisé zwar?""","keke	naf	nima	zä\r/a	sukufa	zane	zisé	zwa\r/	rma	zisé	zwa\r/","NEG	3SG.ERG	like_this	SG:PST:PFV\do	tobacco	DEM:PROX	painful	2|3SG>1SG.IO:RPST:PFV\give	why	painful	2|3SG>1SG.IO:RPST:PFV\give","But he did not understand (the sign), and (thought) ""He gave me this strong tobacco. Why did he give me the strong tobacco?""","The strong tobacco was meant as a warning message.","WORD_ALIGNED"
"a1508","watik, thrma thamin yafrtha","watik	thrma	thamin	ya\fr/tha","then	later	tongue	SG>3SG.M.IO:PST:IPFV\bite","Later he was biting his tongue towards him.","As another warning sign.","WORD_ALIGNED"
"a1510","nima yafrtha noku yam wfänza fof","nima	ya\fr/tha	noku	yam	w\fä/nza	fof","like_this	SG>3SG.M.IO:PST:IPFV\bite	anger	event	SG>3SG.F:PST:IPFV\present	EMPH","He bit (on his tongue) in an aggressive way.","","WORD_ALIGNED"
"a1513","watik nafafäms fam fthé fof zära nima ""zan kabe yé zane""","watik	nafa-	fäms	fam	fthé	fof	zä\r/a	nima	zan	kabe	\yé/	zane","then	3.POSS-	exchange	thought	when	EMPH	SG:PST:PFV\do	like_this	fight	man	3SG.M:NPST:IPFV\be	DEM:PROX","That's when his exchange man understood the message and thought ""This is a headhunter.""","","WORD_ALIGNED"
"a1515","watik kraritth bern","watik	kra\rit/th	b=	e\rn/","then	2|3DU:IRR:PFV\cross	MED=	2|3DU:NPST:IPFV\be","They crossed the river there.","","WORD_ALIGNED"
"a1516","sukufa ärithr nafathufthnm nafangom karnm ämnzr","sukufa	ä\ri/thr	nafa-	thufth	=nm	nafa-	ngom	kar	=nm	ä\m/nzr","tobacco	2|3SG>2|3PL.IO:NPST:IPFV\give	3.POSS-	in_law	=DAT.NSG	3.POSS-	brother_in_law	place	=DAT.NSG	2|3PL:NPST:IPFV\sit","He gave tobacco to his in-laws, to his brothers-in-law and they sat down.","","WORD_ALIGNED"
"a1520","watik, fämsf sräkor fäms ""fof krarifthe","watik	fäms	=f	srä\kor/	fäms	fof	kra\rifth/e","then	exchange	=ERG.SG	2|3SG>3SG.M:IRR:PFV\speak	exchange	EMPH	1DU:IRR:IPFV\send","Then, his exchange told him, ""Let's say goodbye.","","WORD_ALIGNED"
"a1521","nzä fof ŋafarkwr fof""","nzä	fof	ŋa\fark/wé	fof","1SG.ABS	EMPH	1SG:NPST:IPFV\set_off	EMPH","I will set off now.""","","WORD_ALIGNED"
"a1522","nä bana mane erera keke thätrifa nafafämsf","nä	bana	mane	e\rä/ra	keke	thä\trif/a	nafa-	fäms	=f","INDF	pityful	which	2|3PL:PST:IPFV\be	NEG	SG>2|3PL.IO:PST:PFV\tell	3.POSS-	exchange	=ERG.SG","As for those other poor guys, his exchange man did not tell them.","","WORD_ALIGNED"
"a1523","watik, fi nima zefara zyé","watik	fi	nima	ze\far/a	z=	\yé/","then	3.ABS	like_this	SG:PST:PFV\set_off	PROX=	3SG.M:NPST:IPFV\be","Then he left like this,","","WORD_ALIGNED"
"a1524","zärita","zä\rit/a","2|3SG:PST:PFV\cross","he crossed the river.","","WORD_ALIGNED"
"a1525","fi miyatha sfrärm nima zanr zane swanyak","fi	miyatha	sf\rä/rm	nima	zan	=r	zane	swan\yak/","3.ABS	knowledge	3SG.M:PST:DUR\be	like_this	fight	=PURP	DEM:PROX	3SG.M:RPST:IPFV:VENT\come","But he knew that this one had come for an attack.","","WORD_ALIGNED"
"a1527","kabe emarwr","kabe	e\mar/wr","people	2|3SG>2|3PL:NPST:IPFV\see","He was spying on the people.","","WORD_ALIGNED"
"a1528","nafaŋare zräkor ""ni krafare""","nafa-	ŋare	zrä\kor/	ni	kra\far/e","3.POSS-	wife	2|3SG>3SG.F:IRR:PFV\speak	1NSG	1DU:IRR:PFV\set_off","So he told his wife ""We are going to leave!""","","WORD_ALIGNED"
"a1529","watik nafafämsf sräkor watik garda bana kwa srärité","watik	nafa-	fäms	=f	srä\kor/	watik	garda	bana	kwa	srä\rit/é","then	3.POSS-	exchange	=ERG.SG	2|3SG>3SG.M:IRR:PFV\speak	then	canoe	pityful	FUT	1SG>3SG.M:IRR:PFV\cross","The exchange man told him: ""I will take the old canoe across and","","WORD_ALIGNED"
"a1530","nama we n kränbrimé fof","nama	we	n	krän\brim/é	fof","two_days_away	also	IMN	1SG:IRR:PFV:VENT\return	EMPH","I will come back the day after tomorrow.""","","WORD_ALIGNED"
"a1531","watik, krarifthth nafafäms zefarako","watik	kra\rifth/th	nafa-	fäms	ze\far/ako","then	2|3DU:IRR:PFV\send	3.POSS-	exchange	SG:PST:PFV:AND\set_off","They said goodbye to each other and his exchange man left.","","WORD_ALIGNED"
"a1532","fi zärita yanyak kabe thrämosir","fi	zä\rit/a	yan\yak/	kabe	thrä\mosi/r","3.ABS	2|3SG:PST:PFV\cross	3SG.M:NPST:IPFV:VENT\come	people	2|3SG>2|3PL:IRR:PFV\gather","He went across and met the other headhunters.","","WORD_ALIGNED"
"a1534","""o nima rä nima rä nima rä nima tüfr kabe erä, nima tüfr ŋare erä nge nge","o	nima	\rä/	nima	\rä/	nima	\rä/	nima	tüfr	kabe	e\rä/	nima	tüfr	ŋare	e\rä/	nge~	nge","or	like_this	3SG.F:NPST:IPFV\be	like_this	3SG.F:NPST:IPFV\be	like_this	3SG.F:NPST:IPFV\be	like_this	plenty	man	2|3PL:NPST:IPFV\be	like_this	plenty	woman	2|3PL:NPST:IPFV\be	REDUP~	child","(He told tem) ""It is like this and like this. There are lots of men, women and children.","","WORD_ALIGNED"
"a1537","fäms z zefaro""","fäms	z	ze\far/o","exchange	ALR	SG:RPST:PFV:AND\set_off","My exchange man left already.""","","WORD_ALIGNED"
"a1538","watik kafar mane sfrärm finzo sagathinzath mogarkamma","watik	kafar	mane	sf\rä/rm	fi	=nzo	sa\gathinz/ath	mogarkam	=ma","then	big	which	3SG.M:PST:DUR\be	3.ABS	=ONLY	2|3PL>3SG.M:PST:PFV\leave	PLN	=CHAR","Okay, there was an old man from Mongarkam. They left only him behind (in the camp).","","WORD_ALIGNED"
"a1542","kabe naf fr thmthm mane erera we nima tätüme thänarnza fof","kabe	naf	fr	thm~	thm	mane	e\rä/ra	we	nima	tätü	=me	thä\nar/nza	fof","man	3SG.ERG	post	REDUP~	nose	which	2|3PL:PST:IPFV\be	also	like_this	coconut_shell	=INS	SG>2|3PL:PST:PFV\press_down	EMPH","He was the one who kept these small branches covered with a coconut shell.","This ensures that the victims remain in the dark about their impending fate.","WORD_ALIGNED"
"a1543","tätüme thrärnarnz watik, fi fobo fof swamnzrm","tätü	=me	thrär\nar/nz	watik	fi	fobo	fof	swa\m/nzrm","coconut_shell	=INS	SG>2|3PL:IRR:PFV\press_down	then	3.ABS	DIST:ALL	EMPH	3SG.M:PST:DUR\sit","He had to push down the coconut shell. So he stayed behind.","","WORD_ALIGNED"
"a1544","tätü fof bänema tmod ane äfiyokwa fof","tätü	fof	bäne	=ma	tmod	ane	ä\fiyok/wa	fof","coconut_shell	EMPH	PH	=CHAR	spell	DEM	SG>2|3PL:PST:IPFV\make	EMPH","Using a coconut shell, he bewitched them with this spell.","","WORD_ALIGNED"
"a1545","tmod ane zräkorth tmatm","tmod	ane	zrä\kor/th	tmatm","spell	DEM	2|3PL>3SG.F:IRR:PFV\speak	action","This action is called tmod.","","WORD_ALIGNED"
"a1546","keke kwa kräfänir fof kabe gamokarä ane thänarnzath fof","keke	kwa	krä\fänir/	fof	kabe	gamo	=karä	ane	thä\nar/nzath	fof","NEG	FUT	2|3SG:IRR:PFV\shift_place	EMPH	man	spell	=PROP	DEM	2|3SG:PL>2|3PL:PST:PFV\press_down	EMPH","One cannot move (the coconut shell). It keeps (the victims) suppressed with the spell.","","WORD_ALIGNED"
"a1548","tätü mä swamnzrm wämne tnz enthärkunzath aneme tätü zanarnzath fof","tätü	mä	swa\m/nzrm	wämne	tnz	en\thärku/nzath	ane	=me	tätü	za\nar/nzath	fof","coconut_shell	where	3SG.M:PST:DUR\sit	tree	short	2|3PL>2|3PL:NPST:IPFV:VENT\drag	DEM	=INS	coconut_shell	2|3PL>3SG.F:PST:PFV\press_down	EMPH","They brought short sticks and used them to secure the coconut shell in place.","","WORD_ALIGNED"
"a1550","fi bana mane thfrärm boba mane erera tdöfin","fi	bana	mane	thf\rä/rm	boba	mane	e\rä/ra	tdöfi	=en","3.ABS	pityful	which	2|3PL:PST:DUR\be	MED:ABL	which	2|3PL:PST:IPFV\be	PLN	=LOC","As for the poor people there, the ones in Téndöfi,","","WORD_ALIGNED"
"a1551","komnzo etfth etfthnzo thfrugrm yoganai thfrärm","komnzo	etfth	etfth	=nzo	thf\ru/grm	yoganai	thf\rä/rm","only	sleep	sleep	=ONLY	2|3PL:PST:DUR\sleep	tired	2|3PL:PST:DUR\be","they simply slept soundly. They were very tired.","","WORD_ALIGNED"
"a1553","watik, fi ŋamonegwath ŋamonegwath e zizi kräkor zzbär","watik	fi	ŋa\moneg/wath	ŋa\moneg/wath	e	zizi	krä\kor/	z~	zbär","then	3.ABS	2|3PL:NPST:IPFV\wait	2|3PL:NPST:IPFV\wait	until	afternoon	2|3SG:IRR:PFV\become	REDUP~	night","So the (headhunters) waited and waited until it got late, until dawn.","","WORD_ALIGNED"
"a1555","srima kabe thrärifthth zöbthé thrärifthth","srima	kabe	thrä\rifth/th	zöbthé	thrä\rifth/th","spy	man	2|3PL>2|3PL:IRR:PFV\send	first	2|3PL>2|3PL:IRR:PFV\send","They sent out their spies first.","","WORD_ALIGNED"
"a1556","zöbthé fi efrezrth","zöbthé	fi	e\frez/rth","first	3.ABS	2|3PL>2|3PL:NPST:IPFV\come_up_from_river","They approached from the river","","WORD_ALIGNED"
"a1557","kar foba zumarwrmth","kar	foba	zu\mar/wrmth","village	DIST:ABL	2|3PL>3SG.F:PST:DUR\see","and spied out the village from there.","","WORD_ALIGNED"
"a1558","""o fä erä fä erä fä erä""","o	fä	e\rä/	fä	e\rä/	fä	e\rä/","or	DIST	2|3PL:NPST:IPFV\be	DIST	2|3PL:NPST:IPFV\be	DIST	2|3PL:NPST:IPFV\be","(They were talking:) ""Oh, these ones are there and the other ones are there.""","","WORD_ALIGNED"
"a1559","anemewä kwaritakwrmth ŋaritakwath zan kabe bramöwä farem","ane	=me	=wä	kwa\ritak/wrmth	ŋa\ritak/wath	zan	kabe	bramöwä	farem","DEM	=INS	=EMPH	2|3PL:PST:DUR\cross	2|3PL:PST:IPFV\cross	fight	man	all	PLN","With this (knowledge) they crossed the river. The whole group of headhunters from the Farem crossed over.","","WORD_ALIGNED"
"a1560","zäbtha watik","zä\bth/a	watik","2|3SG:PST:PFV\finish	then","Until everyone was there there.","","WORD_ALIGNED"
"a1561","kwot kar fthé wkrkwath wkrkwath wkrkwath ktkt zäkora fof","kwot	kar	fthé	w\krk/wath	w\krk/wath	w\krk/wath	ktkt	zä\kor/a	fof","properly	village	when	2|3PL>3SG.F:PST:IPFV\block	2|3PL>3SG.F:PST:IPFV\block	2|3PL>3SG.F:PST:IPFV\block	tightness	2|3SG:PST:PFV\become	EMPH","They cordoned off the entire village until they had sealed it off.","","WORD_ALIGNED"
"a1562","fthé fof thränthor fof","fthé	fof	thrän\thor/	fof","when	EMPH	2|3PL:IRR:PFV:VENT\appear	EMPH","That was when the attack began.","","WORD_ALIGNED"
"a1563","tä tä tä tä thethkäfath zan efnzath efnzath efnzath efnzath","				the\thkäf/ath	zan	e\fn/zath	e\fn/zath	e\fn/zath	e\fn/zath","				2|3PL>2|3PL:PST:PFV\start	fight	2|3PL>2|3PL:PST:IPFV\hit	2|3PL>2|3PL:PST:IPFV\hit	2|3PL>2|3PL:PST:IPFV\hit	2|3PL>2|3PL:PST:IPFV\hit","Bang Bang Bang. They shot their arrows and began to fight. They killed them and killed them.","","WORD_ALIGNED"
"a1564","näbi fobo kafar emoth ausi bana rera fof","näbi	fobo	kafar	emoth	ausi	bana	\rä/ra	fof","one	DIST:ALL	big	girl	old_woman	pityful	3SG.F:PST:IPFV\be	EMPH","There was one older girl there.","","WORD_ALIGNED"
"a1565","oroman ote oroman yasi nafa zrakothmth","oroman	ote	yasi	nafa	zra\kothm/th","old_man	PN	PN	3NSG.ERG	2|3DU>3SG.F:IRR:PFV\chase","Old man Ote and Yasi chased her.","","WORD_ALIGNED"
"a1567","zrakothmth zrafafth","zra\kothm/th	zra\faf/th","2|3DU>3SG.F:IRR:PFV\chase	2|3DU>3SG.F:IRR:PFV\hold","They chased her down and grabbed her.","","WORD_ALIGNED"
"a1568","""Oh"" kma thrakor ""ze bane ŋari wr""","oh	kma	thra\kor/				","oh	POT	2|3SG>2|3DU:IRR:PFV\speak				","She tried to tell them: ""Oh, I am one of your sisters.""","She speaks in Wära. A translation to Komnzo would be: ""nzä benme ŋare worä.""","WORD_ALIGNED"
