"ID","Language_ID","Primary_Text","Analyzed_Word","Gloss","Translated_Text","Meta_Language_ID","LGR_Conformance","Comment","LGR_Conformance_Level","Language_Name","Abbreviations","Corpus_Reference","Source","Contribution_ID"
"otc1-01_tci20131013v-01_kwafar-a3516","wara1294","watik ezi kabe ane frümenzo tnägsi zethkäfath","wati	ezi	kabe	ane	frü	=me	=nzo	tnäg	-si	ze\thkäf/ath","then	morning	people	DEM	alone	=INS	=ONLY	lose	-NMLZ	2|3PL:PST:PFV\start","Then, in the morning, people began to disperse.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3519","wara1294","bä frümenzo thwamnzrm","bä	frü	=me	=nzo	thwa\m/nzrm","MED	alone	=INS	=ONLY	2|3PL:PST:DUR\sit","They lived all by themselves.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3520","wara1294","watik, mni fthé ŋarsira","wati	mni	fthé	ŋa\rsir/a","then	fire	when	SG:PST:IPFV\burn","When the fire burned,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3521","wara1294","kar ane bramöwä ŋarsira fof","kar	ane	bramöwä	ŋa\rsir/a	fof","place	DEM	all	SG:PST:IPFV\burn	EMPH","it burned down everything.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3522","wara1294","thgathg zfrärm fath thefath","thgathg	zf\rä/rm	fath	thefath","burned_place	3SG.F:PST:DUR\be	clear_place	bushfire","It became a charred place, a clear place, a burnt place.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3523","wara1294","watik menzmenz ane fof yabun kafar","wati	menz~	menz	ane	fof	yabun	kafar","then	REDUP~	story_man	DEM	EMPH	big	big","Then (there was) a huge spirit being, a very big creature.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3526","wara1294","thgathg dagonr ane fof zenfara","thgathg	dagon	=r	ane	fof	zen\far/a","burned_place	food	=PURP	DEM	EMPH	SG:PST:PFV:VENT\set_off","It roamed around and ate (people),","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3527","wara1294","kabe mane thfthnm kwosi","kabe	mane	thf\thn/m	kwosi","people	which	2|3PL:PST:DUR\lie_down	corpse","the dead people who lay there.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3528","wara1294","watik gwamf ŋatha thäsa ezi","wati	gwam	=f	ŋatha	thä\s/a	ezi","then	PN	=ERG.SG	dog	SG>2|3PL:PST:PFV\call	morning","In the morning, Gwam called his dogs","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3531","wara1294","ane thefath thgathgen fof yaser","ane	thefath	thgathg	=en	fof	yase	=r","DEM	bushfire	burned_place	=LOC	EMPH	game	=PURP","(to go) hunting at that burned place.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3534","wara1294","watik ŋatha anenzo fof sathkäfa","wati	ŋatha	ane	=nzo	fof	sa\thkäf/a","then	dog	DEM	=ONLY	EMPH	SG>3SG.M:PST:PFV\start","He started with one of the dogs.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3535","wara1294","ŋatha ane swaruthrm gwam mon nima yarera","ŋatha	ane	swa\ru/thrm	gwam	mon	nima	ya\rä/ra","dog	DEM	SG>3SG.M.IO:PST:DUR\bark	PN	how	like_this	SG>3SG.M.IO:PST:IPFV\do","The dog was barking, and Gwam was thinking like this.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3536","wara1294","eda erna kabe","eda	e\rn/a	kabe","two	2|3DU:PST:IPFV\be	man","In fact, there were two men.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3537","wara1294","kafar yf mane thfrnm","kafar	yf	mane	thf\rn/m","big	name	which	2|3DU:PST:DUR\be","They were well known:","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3538","wara1294","nafangthrwä gwam muri","nafa-	ngth	=r	=wä	gwam	muri","3.POSS-	younger_sibling	=ASSOC.DU	=EMPH	PN	PN","Gwam with his younger brother Muri.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3540","wara1294","gwam yara nafanane muri nafangth","gwam	ya\r/a	nafa-	nane	muri	nafa-	ngth","PN	3SG.M:PST:IPFV\be	3.POSS-	elder_sibling	PN	3.POSS-	younger_sibling","Gwam was the older brother and Muri was the younger brother.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3543","wara1294","wati gwamf ane fof ezi ŋatha thäsa thgathgen e","wati	gwam	=f	ane	fof	ezi	ŋatha	thä\s/a	thgathg	=en	e","then	PN	=ERG.SG	DEM	EMPH	morning	dog	SG>2|3PL:PST:PFV\call	burned_place	=LOC	until","So it was Gwam who called the dogs in the morning (to go hunting) and","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3544","wara1294","anenzo fof ŋatha yayamgwa","ane	=nzo	fof	ŋatha	ya\yamg/wa","DEM	=ONLY	EMPH	dog	SG>3SG.M.IO:PST:IPFV\surprise","that one dog stopped because of this (creature).","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3545","wara1294","yayamgwa","ya\yamg/wa","SG>3SG.M.IO:PST:IPFV\surprise","It was startled.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3547","wara1294","ane menznzo fof kabe maf änatha fof","ane	menz	=nzo	fof	kabe	maf	ä\na/tha	fof","DEM	story_man	=ONLY	EMPH	people	who.ERG.SG	SG>2|3PL:PST:IPFV\eat	EMPH","It was that creature eating the human bodies.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3548","wara1294","fewakaf kwosi thwanathrm","fewa	=kaf	kwosi	thwa\na/thrm","smell	=PROP	corpse	SG>2|3PL:PST:DUR\eat","He ate the dead, the decaying corpses.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3549","wara1294","gwamf zagr ymarwa fof","gwam	=f	zagr	y\mar/wa	fof","PN	=ERG.SG	far	SG>3SG.M:PST:IPFV\see	EMPH","Gwam saw it from a distance.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3551","wara1294","""ra bäne yé?"" nima né samara","ra	bäne	\yé/	nima	n	sa\mar/a","what.ABS	PH.ABS	3SG.M:NPST:IPFV\be	like_this	IMN	SG>3SG.M:PST:PFV\see","‘What's that?’ (he said) and tried to take a look at it.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3552","wara1294","o ""ra menzmenz yé?""","o	ra	menz~	menz	\yé/","or	what.ABS	REDUP~	story_man	3SG.M:NPST:IPFV\be","""What creature is this?""","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3553","wara1294","kabe nrma fi fobo fof ŋagathikwa fof ane menzmenz","kabe	nr	=ma	fi	fobo	fof	ŋa\gathik/wa	fof	ane	menz~	menz","people	belly	=CHAR	3.ABS	DIST:ALL	EMPH	2|3SG:PST:IPFV\leave	EMPH	DEM	REDUP~	story_man","The creature stopped with a full stomach.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3555","wara1294","kabe ane zenthkäfath yak","kabe	ane	zen\thkäf/ath	yak","people	DEM	2|3PL:PST:PFV:VENT\start	run","The (survivors) started to run.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3556","wara1294","ŋatha mane kwaruthrm","ŋatha	mane	kwa\ru/thrm","dog	which	SG:PST:DUR\bark","That dog who was barking,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3557","wara1294","yf ŋatha yara ane tifr","yf	ŋatha	ya\r/a	ane	tifr","name	dog	3SG.M:PST:IPFV\be	DEM	PN","its name was Tifér.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3558","wara1294","wati sathkäfath","wati	sa\thkäf/ath","then	2|3PL>3SG.M.IO:PST:PFV\start","It started (to bark at the creature)","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3559","wara1294","kabeyé ane dunzi kma sfruthrmth, keke","kabe	=é	ane	dunzi	kma	sf\ru/thrmth	keke","people	=ERG.NSG	DEM	arrow	POT	2|3PL>3SG.M:PST:DUR\shoot	NEG","and the people tried to shoot it. But they didn't (succeed).","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3560","wara1294","gwamf nafangth sräkor","gwam	=f	nafa-	ngth	srä\kor/","PN	=ERG.SG	3.POSS-	younger_sibling	2|3SG>3SG.M:IRR:PFV\speak","Gwam told his small brother:","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3561","wara1294","""muri zba känrit nzuzawe nzefé biruthro"" ŋa","muri	zba	kän\rit/	nzu-	zawe	nzefé	b=	y\ru/thro	a","Muri	PROX:ABL	2SG:IMP:PFV:VENT\cross	1SG.POSS-	side	1SG.ERG.EMPH	MED=	SG>3SG.M:NPST:IPFV:AND\shoot	and","""Muri, come over here to my side. I'll shoot him from here"" and","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3565","wara1294","naf nima ""samg bänema näbuné fof yruthrth byé keke kwosi yathizr""","naf	nima	sa\mg/	bäne	=ma	näbun	=é	fof	y\ru/thrth	b=	\yé/	keke	kwosi	ya\thiz/r","3SG.ERG	like_this	2SG>3SG.M:IMP:PFV\shoot	PH.ABS	=CHAR	INDF	=ERG.NSG	EMPH	2|3PL>3SG.M:NPST:IPFV\shoot	MED=	3SG.M:NPST:IPFV\be	NEG	dead	3SG:NPST:IPFV\die","(Muri) said, ""Shoot now! because the others are shooting, but it's not dying.""","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3568","wara1294","naf nima ""keke fi miyamr erä fofosa mä rä nze komnzo zimarwé fof""","naf	nima	keke	fi	miyamr	e\rä/	fofosa	mä	\rä/	nze	komnzo	z=	y\mar/wé	fof","3SG.ERG	like_this	NEG	3.ABS	ignorance	2|3PL:NPST:IPFV\be	heart	where	3SG.F:NPST:IPFV\be	1SG.ERG	only	PROX=	1SG>3SG.M:NPST:IPFV\see	EMPH","Gwam said: ""No, they don't know where the heart is. Only I can see it from here.""","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3571","wara1294","zirkn thfrnm näbun kwanafrm näbun kwanafrm","zirkn	thf\rn/m	näbun	kwa\naf/rm	näbun	kwa\naf/rm","insistence	2|3DU:PST:DUR\be	INDF	SG:PST:DUR\talk	INDF	SG:PST:DUR\talk","They kept on doing this. One was talking and then the other one was talking.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3572","wara1294","""watik ngth biruthé famkaräsü gnräré""","wati	ngth	b=	y\ru/thé	fam	=karä	=sü	gn\rä/ré","then	younger_sibling	MED=	1SG>3SG.M:NPST:IPFV\shoot	thought	=PROP	=ETC	2SG:IMP:IPFV\be","(Gwam said) ""Okay brother, I will shoot now! Watch out!""","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3574","wara1294","nafananaf ane fof trikasi nima rä","nafa-	nane	=f	ane	fof	trikasi	nima	\rä/","3.POSS-	elder_sibling	=ERG.SG	DEM	EMPH	story	like_this	3SG.F:NPST:IPFV\be","The story goes that it was the older brother (who shot).","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3576","wara1294","nafangth kma markai nabikarä sfrärm","nafa-	ngth	kma	markai	nabi	=karä	sf\rä/rm","3.POSS-	younger_sibling	POT	outsider	bow	=PROP	3SG.M:PST:DUR\be","The younger brother is said to have owned a shotgun.","stan1293","WORD_ALIGNED","While the older brother was shooting with bow and arrow.","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3577","wara1294","watik nafangth mane yara naf keke samga","wati	nafa-	ngth	mane	ya\r/a	naf	keke	sa\mg/a","then	3.POSS-	younger_sibling	which	3SG.M:PST:IPFV\be	3SG.ERG	NEG	SG>3SG.M:PST:PFV\shoot","The younger brother did not hit the animal.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3578","wara1294","nafananafnzo nabi ŋathunza zf sfthnm","nafa-	nane	=f	=nzo	nabi	ŋa\thu/nza	zf	sf\thn/m","3.POSS-	elder_sibling	=ERG.SG	=ONLY	bow	SG:PST:IPFV\fold	ABSC	3SG.M:PST:DUR\lie_down","The older brother drew the bow (and hit it). The creature dropped down.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3580","wara1294","yo kwan","yo	kwan","sound_of_arrow_hitting_sth	shout","He speared it.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3581","wara1294","fof sargosira fofosa fefen","fof	sa\rgosir/a	fofosa	fefe	=en","EMPH	SG>3SG.M.IO:PST:PFV\penetrate	heart	real	=LOC","The arrow bored right through to the heart.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3582","wara1294","no fof zärftha","no	fof	zä\rfth/a","water	EMPH	SG:PST:PFV\burst","Water began to break out.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3583","wara1294","no ane zamatha","no	ane	za\math/a","water	DEM	SG:PST:PFV\run","Water was flowing.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3584","wara1294","wati no mane kwakwirm fof","wati	no	mane	kwa\kwir/m	fof","then	water	which	SG:PST:DUR\run	EMPH","Water that was running","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3585","wara1294","wäsi zrminz mä ŋanrsira fof","wäsi	zrminz	mä	ŋan\rsir/a	fof","tree_species	root	where	SG:PST:IPFV:VENT\burn	EMPH","Where the roots of the Wäsi tree burned,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3586","wara1294","mni mä ŋanrsira","mni	mä	ŋan\rsir/a","fire	where	SG:PST:IPFV:VENT\burn","where the fire burned them,","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3587","wara1294","no fä kwanthorthrm fof ane zrminz fof","no	fä	kwan\thor/thrm	fof	ane	zrminz	fof","water	DIST	SG:PST:DUR:VENT\enter	EMPH	DEM	root	EMPH","the water flowed along those roots.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3589","wara1294","nof nä nima thäkothmako","no	=f	nä	nima	thä\kothm/ako","water	=ERG.SG	INDF	like_this	SG>2|3PL:PST:PFV:AND\chase","The water chased away some of the people in this direction.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3590","wara1294","nä nima thänkothma nzezawe","nä	nima	thän\kothm/a	nze-	zawe","INDF	like_this	SG>2|3PL:PST:PFV:VENT\chase	1NSG.POSS-	side","Others were chased away towards our side here.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3591","wara1294","gwamane nima zenmathath muriane nima","gwam	=ane	nima	zen\math/ath	muri	=ane	nima","PN	=POSS.SG	like_this	2|3PL:PST:PFV:VENT\run	PN	=POSS.SG	like_this","The people from Gwam ran here and those from Muri in the other direction.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
"otc1-01_tci20131013v-01_kwafar-a3593","wara1294","mane ŋankwirwath zentnäthath","mane	ŋan\kwir/wath	zen\tnäth/ath","which	2|3PL:PST:IPFV:VENT\run	2|3PL:PST:PFV:VENT\lose","Those who ran away scattered.","stan1293","WORD_ALIGNED","","2","","{}","","","otc1"
